time stamp,accel x,accel y,accel z,pitch,roll,yaw
0,0.7275,-0.123,0.7302501,-0.2529285,0.1063033,-0.1600659
0.01666667,0.7185,-0.13075,0.731,-0.2541504,0.03543443,-0.1331846
0.03333334,0.7185,-0.13075,0.731,-0.2541504,0.03543443,-0.1331846
0.05,0.717,-0.1385,0.714,-0.2541504,-0.04032194,-0.129519
0.06666667,0.717,-0.1385,0.714,-0.2541504,-0.04032194,-0.129519
0.08333334,0.717,-0.1385,0.714,-0.2541504,-0.04032194,-0.129519
0.1,0.7125,-0.15925,0.69775,-0.2651473,-0.006109385,-0.1527346
0.1166667,0.7495,-0.153,0.7005,-0.3751162,0.3018036,-0.2785879
0.1333333,0.7485,-0.1525,0.698,-0.337238,0.1111908,-0.1991659
0.15,0.73475,-0.16525,0.696,-0.3213536,-0.02199378,-0.1441815
0.1666667,0.73475,-0.16525,0.696,-0.3213536,-0.02199378,-0.1441815
0.1833333,0.73475,-0.16525,0.696,-0.3213536,-0.02199378,-0.1441815
0.2,0.719,-0.1765,0.6905,-0.3421255,-0.009775016,-0.149069
0.2166667,0.728,-0.17375,0.68825,-0.6475947,0.3726725,-0.307913
0.2333333,0.744,-0.15325,0.70275,-0.5144102,0.2895848,-0.2810317
0.25,0.74225,-0.153,0.71025,-0.476532,0.149069,-0.2223816
0.2666667,0.74225,-0.153,0.71025,-0.476532,0.149069,-0.2223816
0.2833334,0.74225,-0.153,0.71025,-0.476532,0.149069,-0.2223816
0.3,0.7135,-0.148,0.70625,-0.7416793,0.05987197,-0.1454034
0.3166667,0.6875001,-0.14475,0.69975,-0.933514,0.1625096,-0.1759503
0.3333334,0.623,-0.1715,0.73825,-1.02882,0.2199378,-0.2431535
0.3500001,0.623,-0.1715,0.73825,-1.02882,0.2199378,-0.2431535
0.3666668,0.623,-0.1715,0.73825,-1.02882,0.2199378,-0.2431535
0.3833334,0.54875,-0.23075,0.78025,-1.223099,-0.08553138,-0.4557601
0.4000001,0.52775,-0.26675,0.7955,-1.317183,-0.07209074,-0.5632853
0.4166668,0.44375,-0.35575,0.8295,-1.435705,0.2236035,-0.7758918
0.4333335,0.40625,-0.43275,0.87775,-1.264643,0.3934444,-0.8773077
0.4500002,0.40625,-0.43275,0.87775,-1.264643,0.3934444,-0.8773077
0.4666668,0.35675,-0.60525,0.96975,-0.784445,0.02443754,-1.286636
0.4833335,0.35675,-0.60525,0.96975,-0.784445,0.02443754,-1.286636
0.5000002,0.3615,-0.7085,1.0185,-0.7697825,0.158844,-1.411268
0.5166668,0.3615,-0.7085,1.0185,-0.7697825,0.158844,-1.411268
0.5333335,0.6675,-1.35375,1.263,-0.3091349,1.285415,-1.774165
0.5500001,1.63975,-2.86425,1.1765,0.3567881,-0.6585917,-1.606768
0.5666668,2.0395,-3.51925,0.6855,-0.1906128,0.5901666,-0.8956358
0.5833334,2.2475,-4.07075,0.019,-0.8467607,2.925173,0.6023853
0.6000001,2.581,-4.16,-0.68775,-1.041039,3.393152,2.856748
0.6166667,2.442,-4.20175,-1.189,0.7807794,1.620209,4.087178
0.6333334,2.495,-3.378,-1.8695,3.41148,0.7025793,3.424921
0.65,2.56725,-2.5205,-2.38225,3.365049,1.664196,2.719898
0.6666667,3.1275,-0.16275,-2.611,2.25925,3.041252,3.11823
0.6833333,3.1275,-0.16275,-2.611,2.25925,3.041252,3.11823
0.7,6.78125,3.5905,-2.73025,4.148272,5.271177,2.473079
0.7166666,6.78125,3.5905,-2.73025,4.148272,5.271177,2.473079
0.7333333,8.177751,7.968501,-1.25925,12.4717,12.33851,1.669084
0.7499999,1.08275,6.2345,-0.7375,-1.644646,7.314156,11.18628
0.7666666,1.08275,6.2345,-0.7375,-1.644646,7.314156,11.18628
0.7833332,1.08275,6.2345,-0.7375,-1.644646,7.314156,11.18628
0.7999999,-2.494,3.7935,-0.0245,-3.101124,4.21181,7.227402
0.8166665,-2.494,3.7935,-0.0245,-3.101124,4.21181,7.227402
0.8333332,-2.494,3.7935,-0.0245,-3.101124,4.21181,7.227402
0.8499998,-2.494,3.7935,-0.0245,-3.101124,4.21181,7.227402
0.8666665,-2.494,3.7935,-0.0245,-3.101124,4.21181,7.227402
0.8833331,-2.5435,3.27025,-0.6265,-5.959094,0.8553138,6.402635
0.8999998,-2.5435,3.27025,-0.6265,-5.959094,0.8553138,6.402635
0.9166664,-2.231,2.1005,-0.665,-4.727442,-0.8125482,5.516774
0.9333331,-0.58675,1.1195,0.50725,0.7868888,-1.776609,1.414933
0.9499997,-0.36875,1.10125,0.68225,1.10702,-1.992881,1.159561
0.9666664,-0.11175,1.156,0.821,1.531012,-2.100406,0.8614233
0.9833331,-0.04875,1.052,0.8835,1.512684,-1.980662,0.8785295
0.9999997,0.01275,0.9825001,0.9255,1.010492,-1.600659,1.075252
1.016666,0.01275,0.9825001,0.9255,1.010492,-1.600659,1.075252
1.033333,0.01275,0.9825001,0.9255,1.010492,-1.600659,1.075252
1.05,0.01275,0.9825001,0.9255,1.010492,-1.600659,1.075252
1.066666,0.01275,0.9825001,0.9255,1.010492,-1.600659,1.075252
1.083333,0.01275,0.9825001,0.9255,1.010492,-1.600659,1.075252
1.1,0.01275,0.9825001,0.9255,1.010492,-1.600659,1.075252
1.116666,0.17425,0.9725,1.02525,0.1234096,-0.9493984,0.9041889
1.133333,0.1835,0.95275,1.0225,0.1014158,-1.256089,0.744123
1.15,0.16075,0.263,1.17825,-0.8394294,-1.713071,0.4557601
1.166666,0.15,0.137,1.208,-0.9408453,-1.813265,0.2956942
1.183333,0.15,0.137,1.208,-0.9408453,-1.813265,0.2956942
1.2,0.1325,0.05125,1.19825,-1.085027,-1.909794,0.1502909
1.216666,0.18675,-0.05275,1.1325,-1.649534,-2.107738,-0.3812256
1.233333,0.302,-0.06725001,1.07575,-1.886578,-2.112625,-0.7710044
1.25,0.37,-0.07775,1.04425,-2.03076,-1.955003,-1.162005
1.266666,0.42075,-0.23325,0.9752501,-2.249475,-1.577443,-1.281749
1.283333,0.42075,-0.23325,0.9752501,-2.249475,-1.577443,-1.281749
1.299999,0.4725,-0.28225,0.87475,-2.396101,-1.626318,-1.401493
1.316666,0.4725,-0.28225,0.87475,-2.396101,-1.626318,-1.401493
1.333333,0.61825,-0.31425,0.7,-2.586714,-0.8944139,-2.24581
1.349999,0.61825,-0.31425,0.7,-2.586714,-0.8944139,-2.24581
1.366666,0.6765,-0.35075,0.725,-2.064972,-0.05987197,-2.377773
1.383333,0.65575,-0.3575,0.7435001,-1.935453,-0.1735065,-2.438866
1.399999,0.6792501,-0.3155,0.72675,-2.017319,-0.2675911,-2.453529
1.416666,0.675,-0.3435,0.7045,-2.130953,-0.0953064,-2.416873
1.433333,0.7220001,-0.3455,0.65825,-2.192047,-0.03543443,-2.352113
1.449999,0.7402501,-0.3255,0.63875,-2.095519,-0.06475948,-2.337451
1.466666,0.748,-0.3175,0.6215,-1.881691,-0.1344065,-2.24581
1.483333,0.7445,-0.34425,0.63425,-1.67275,-0.1564002,-2.06375
1.499999,0.76125,-0.355,0.6325001,-1.616543,-0.1417377,-1.976997
1.516666,0.738,-0.3875,0.6815,-1.682525,0.02932505,-1.831594
1.533333,0.76625,-0.39075,0.6842501,-1.609212,-0.09164077,-1.722847
1.549999,0.76625,-0.39075,0.6842501,-1.609212,-0.09164077,-1.722847
1.566666,0.76625,-0.39075,0.6842501,-1.609212,-0.09164077,-1.722847
1.583333,0.75475,-0.49125,0.67,-1.341621,-0.3885569,-1.325737
1.599999,0.75475,-0.49125,0.67,-1.341621,-0.3885569,-1.325737
1.616666,0.75475,-0.49125,0.67,-1.341621,-0.3885569,-1.325737
1.633332,0.75475,-0.49125,0.67,-1.341621,-0.3885569,-1.325737
1.649999,0.737,-0.502,0.684,-1.32818,-0.3641193,-1.270752
1.666666,0.737,-0.502,0.684,-1.32818,-0.3641193,-1.270752
1.683332,0.737,-0.502,0.684,-1.32818,-0.3641193,-1.270752
1.699999,0.737,-0.502,0.684,-1.32818,-0.3641193,-1.270752
1.716666,0.73175,-0.48075,0.6855,-1.251202,-0.3494568,-1.28908
1.733332,0.73175,-0.48075,0.6855,-1.251202,-0.3494568,-1.28908
1.749999,0.731,-0.42925,0.69875,-1.147342,-0.327463,-1.388052
1.766666,0.731,-0.42925,0.69875,-1.147342,-0.327463,-1.388052
1.783332,0.731,-0.42925,0.69875,-1.147342,-0.327463,-1.388052
1.799999,0.772,-0.3925,0.71775,-1.116796,-0.2639254,-1.411268
1.816666,0.772,-0.3925,0.71775,-1.116796,-0.2639254,-1.411268
1.833332,0.772,-0.3925,0.71775,-1.116796,-0.2639254,-1.411268
