time stamp,accel x,accel y,accel z,pitch,roll,yaw
0,0.9485,-0.30475,0.2585,-0.09286265,0.003665631,0.1478471
0.01666667,0.9555001,-0.3025,0.251,-0.1234096,0.01955003,0.1478471
0.03333334,0.9555001,-0.3025,0.251,-0.1234096,0.01955003,0.1478471
0.05,0.9597501,-0.306,0.24875,-0.1625096,0.0635376,0.1673971
0.06666667,0.9597501,-0.306,0.24875,-0.1625096,0.0635376,0.1673971
0.08333334,0.9355,-0.31625,0.26875,-0.2040534,0.09652828,0.2003878
0.1,0.906,-0.34425,0.26975,-0.1710628,0.004887508,0.1234096
0.1166667,0.906,-0.34425,0.26975,-0.1710628,0.004887508,0.1234096
0.1333333,0.91,-0.355,0.253,-0.2419316,0.1246314,0.02443754
0.15,0.90325,-0.36175,0.25675,-0.2211597,0.1673971,-0.006109385
0.1666667,0.9065,-0.36575,0.257,-0.1955003,0.1148564,-0.03421256
0.1833333,0.91075,-0.373,0.25425,-0.1637315,0.07820012,-0.02688129
0.2,0.91075,-0.373,0.25425,-0.1637315,0.07820012,-0.02688129
0.2166667,0.91075,-0.373,0.25425,-0.1637315,0.07820012,-0.02688129
0.2333333,0.92575,-0.37475,0.2445,-0.1466252,0.07086886,-0.03054692
0.25,0.92875,-0.3855,0.259,-0.079422,0.2712567,-0.06720323
0.2666667,0.9227501,-0.39025,0.26425,-0.06109385,0.2663692,-0.08797514
0.2833334,0.92725,-0.386,0.268,-0.03421256,0.2724786,-0.09775016
0.3,0.92725,-0.386,0.268,-0.03421256,0.2724786,-0.09775016
0.3166667,0.9315,-0.3855,0.27275,-0.0317688,0.3164661,-0.1234096
0.3333334,0.914,-0.40025,0.29425,-0.03910006,0.3910006,-0.1331846
0.3500001,0.9,-0.41125,0.29675,-0.04398757,0.4239913,-0.1747284
0.3666668,0.9,-0.41125,0.29675,-0.04398757,0.4239913,-0.1747284
0.3833334,0.90325,-0.41025,0.2885,-0.09897203,0.645151,-0.298138
0.4000001,0.9137501,-0.40775,0.287,-0.08430951,0.7001355,-0.3103567
0.4166668,0.9137501,-0.40775,0.287,-0.08430951,0.7001355,-0.3103567
0.4333335,0.942,-0.486,0.25625,0.168619,0.7868888,-0.2993599
0.4500002,0.955,-0.5275,0.251,0.2003878,0.9420671,-0.3494568
0.4666668,0.956,-0.564,0.2655,0.2443754,1.158339,-0.4349882
0.4833335,0.956,-0.564,0.2655,0.2443754,1.158339,-0.4349882
0.5000002,0.92725,-0.6445,0.277,0.3250193,1.450368,-0.7856669
0.5166668,1.00325,-0.955,0.2545,0.1991659,2.302016,-1.03493
0.5333335,1.1455,-1.15925,0.229,0.2565942,2.729673,-0.873642
0.5500001,1.1455,-1.15925,0.229,0.2565942,2.729673,-0.873642
0.5666668,1.523,-1.79475,0.1545,1.281749,2.591601,0.1649534
0.5833334,1.92175,-2.50825,-0.0555,2.172497,2.151725,0.8931921
0.6000001,2.16375,-3.0545,-0.47375,1.812044,1.460143,1.681303
0.6166667,2.16375,-3.0545,-0.47375,1.812044,1.460143,1.681303
0.6333334,2.0845,-2.941,-0.837,0.6268229,1.834037,2.956942
0.65,2.0845,-2.941,-0.837,0.6268229,1.834037,2.956942
0.6666667,1.62225,-2.478,-1.0385,-0.2798098,5.026802,5.728159
0.6833333,1.62225,-2.478,-1.0385,-0.2798098,5.026802,5.728159
0.7,1.281,-2.26925,-0.8345,0.6830292,5.224746,6.51627
0.7166666,1.281,-2.26925,-0.8345,0.6830292,5.224746,6.51627
0.7333333,0.459,-2.41475,-0.43525,4.699339,4.354769,1.906128
0.7499999,0.459,-2.41475,-0.43525,4.699339,4.354769,1.906128
0.7666666,0.459,-2.41475,-0.43525,4.699339,4.354769,1.906128
