time stamp,accel x,accel y,accel z,pitch,roll,yaw
0,0.75425,-0.399,0.565,-0.1735065,0.1380721,-0.139294
0.01666667,0.75425,-0.399,0.565,-0.1735065,0.1380721,-0.139294
0.03333334,0.75425,-0.399,0.565,-0.1735065,0.1380721,-0.139294
0.05,0.7645,-0.39275,0.56375,-0.2040534,0.1979441,-0.2077191
0.06666667,0.7762501,-0.37725,0.557,-0.1991659,0.1820597,-0.2541504
0.08333334,0.7787501,-0.364,0.552,-0.1478471,0.05498446,-0.2639254
0.1,0.76625,-0.37375,0.55075,-0.1405158,-0.02199378,-0.2639254
0.1166667,0.76625,-0.37375,0.55075,-0.1405158,-0.02199378,-0.2639254
0.1333333,0.7325,-0.387,0.538,-0.1564002,-0.01832815,-0.327463
0.15,0.7395,-0.37025,0.525,-0.2138285,0.04520945,-0.4582039
0.1666667,0.7395,-0.37025,0.525,-0.2138285,0.04520945,-0.4582039
0.1833333,0.75425,-0.36225,0.52825,-0.238266,0.1356283,-0.5498446
0.2,0.756,-0.3645,0.52775,-0.2419316,0.1454034,-0.5962759
0.2166667,0.756,-0.3645,0.52775,-0.2419316,0.1454034,-0.5962759
0.2333333,0.7837501,-0.3405,0.5330001,-0.2358222,0.1063033,-0.6879167
0.25,0.7845001,-0.34075,0.53325,-0.2040534,0.08186576,-0.7209074
0.2666667,0.7697501,-0.34475,0.54,-0.158844,-0.001221877,-0.7343481
0.2833334,0.697,-0.35475,0.53525,-0.05865009,-0.2614817,-0.8015513
0.3,0.65075,-0.3525,0.5255,-0.02688129,-0.3641193,-0.8809733
0.3166667,0.65075,-0.3525,0.5255,-0.02688129,-0.3641193,-0.8809733
0.3333334,0.583,-0.308,0.48025,0.04154382,-0.5119665,-1.116796
0.3500001,0.56825,-0.27375,0.4415,0.06231572,-0.565729,-1.27564
0.3666668,0.552,-0.256,0.41425,0.09286265,-0.5547321,-1.430818
0.3833334,0.44175,-0.20225,0.351,0.02932505,-0.4826414,-1.813265
0.4000001,0.3515,-0.2025,0.33825,-0.02810317,-0.3787819,-2.038091
0.4166668,0.2555,-0.198,0.33725,-0.1405158,-0.3311287,-2.287354
0.4333335,0.15625,-0.177,0.333,-0.2529285,-0.406885,-2.567163
0.4500002,0.112,-0.12325,0.29075,-0.3934444,-0.6708105,-2.828645
0.4666668,0.15425,-0.0145,0.14325,-0.5351821,-1.118017,-3.095014
0.4833335,0.208,0.10125,-0.05375,-0.6390417,-1.824262,-3.277074
0.5000002,0.27025,0.199,-0.2225,-0.4313226,-2.42787,-3.301512
0.5166668,0.17775,-0.08750001,-0.42025,0.5107446,-3.229421,-3.578877
0.5333335,0.17775,-0.08750001,-0.42025,0.5107446,-3.229421,-3.578877
0.5500001,0.17775,-0.08750001,-0.42025,0.5107446,-3.229421,-3.578877
0.5666668,0.04875,-0.70275,-0.61125,-0.1038595,-2.870189,-4.122613
0.5833334,0.67125,-1.1825,-1.5785,-0.4374319,-5.097671,-4.239913
0.6000001,0.7385001,-1.51775,-2.209,0.5302946,-8.265998,-3.468909
0.6166667,0.33,-1.803,-2.8025,0.7490106,-9.313146,-3.142668
0.6333334,-0.048,-1.886,-3.32175,-1.004383,-6.885277,-3.519006
0.65,0.16175,-1.56425,-3.939,-3.05347,-3.104789,-4.187372
0.6666667,0.99475,0.95175,-5.31,3.008261,-6.571254,-5.866231
0.6833333,0.164,2.47075,-6.747251,6.693442,-8.151141,-6.755758
0.7,0.164,2.47075,-6.747251,6.693442,-8.151141,-6.755758
0.7166666,-0.5695,5.88025,-6.59175,5.695168,8.597126,-8.356417
0.7333333,-0.5695,5.88025,-6.59175,5.695168,8.597126,-8.356417
0.7499999,-0.192,8.047,-3.695,11.21316,8.962467,-7.305602
0.7666666,0.32125,8.18525,-1.53,9.572184,12.4216,-6.886498
0.7833332,3.7815,5.85175,-2.56575,4.186151,11.5895,7.68805
0.7999999,3.7815,5.85175,-2.56575,4.186151,11.5895,7.68805
0.8166665,3.7815,5.85175,-2.56575,4.186151,11.5895,7.68805
0.8333332,3.7815,5.85175,-2.56575,4.186151,11.5895,7.68805
0.8499998,-2.009,4.5805,-0.3445,11.43432,5.55954,6.383085
0.8666665,-2.009,4.5805,-0.3445,11.43432,5.55954,6.383085
0.8833331,-2.009,4.5805,-0.3445,11.43432,5.55954,6.383085
0.8999998,-2.009,4.5805,-0.3445,11.43432,5.55954,6.383085
0.9166664,-2.009,4.5805,-0.3445,11.43432,5.55954,6.383085
0.9333331,-2.024,3.85675,0.15,9.728584,4.676123,6.144819
0.9499997,-1.9035,3.01225,0.7992501,9.586846,3.658299,4.668792
0.9666664,-1.314,1.46675,0.9475001,6.304885,2.42787,2.943501
0.9833331,-0.404,0.0445,0.88025,1.342843,1.834037,0.3103567
0.9999997,-0.14675,-0.3215,0.823,0.3140224,1.245093,-0.05254071
1.016666,-0.034,-0.43625,0.749,0.1307408,0.8895264,-0.3726725
1.033333,0.08825,-0.5505,0.68,-0.07575637,0.4826414,-0.7160199
1.05,0.08825,-0.5505,0.68,-0.07575637,0.4826414,-0.7160199
1.066666,0.3235,-0.6990001,0.43925,-1.099689,0.5730603,-1.325737
1.083333,0.47425,-0.716,0.36525,-1.54934,1.103355,-1.542009
