time stamp,accel x,accel y,accel z,pitch,roll,yaw
0,0.8602501,-0.11625,0.6285,-0.1014158,0.1124127,-0.1991659
0.01666667,0.9030001,-0.10875,0.6440001,-0.04154382,-0.05009696,-0.1539565
0.03333334,0.9030001,-0.10875,0.6440001,-0.04154382,-0.05009696,-0.1539565
0.05,0.9030001,-0.10875,0.6440001,-0.04154382,-0.05009696,-0.1539565
0.06666667,0.9030001,-0.10875,0.6440001,-0.04154382,-0.05009696,-0.1539565
0.08333334,0.9030001,-0.10875,0.6440001,-0.04154382,-0.05009696,-0.1539565
0.1,0.9030001,-0.10875,0.6440001,-0.04154382,-0.05009696,-0.1539565
0.1166667,0.9030001,-0.10875,0.6440001,-0.04154382,-0.05009696,-0.1539565
0.1333333,0.9030001,-0.10875,0.6440001,-0.04154382,-0.05009696,-0.1539565
0.15,0.9030001,-0.10875,0.6440001,-0.04154382,-0.05009696,-0.1539565
0.1666667,0.9030001,-0.10875,0.6440001,-0.04154382,-0.05009696,-0.1539565
0.1833333,0.9030001,-0.10875,0.6440001,-0.04154382,-0.05009696,-0.1539565
0.2,0.9030001,-0.10875,0.6440001,-0.04154382,-0.05009696,-0.1539565
0.2166667,0.9030001,-0.10875,0.6440001,-0.04154382,-0.05009696,-0.1539565
0.2333333,0.8845,-0.08375,0.6515,-0.007331261,-0.2431535,-0.149069
0.25,0.8845,-0.08375,0.6515,-0.007331261,-0.2431535,-0.149069
0.2666667,0.8845,-0.08375,0.6515,-0.007331261,-0.2431535,-0.149069
0.2833334,0.8845,-0.08375,0.6515,-0.007331261,-0.2431535,-0.149069
0.3,0.8845,-0.08375,0.6515,-0.007331261,-0.2431535,-0.149069
0.3166667,0.8845,-0.08375,0.6515,-0.007331261,-0.2431535,-0.149069
0.3333334,0.8627501,-0.0685,0.66825,-0.06109385,-0.1221877,-0.2174941
0.3500001,0.8627501,-0.0685,0.66825,-0.06109385,-0.1221877,-0.2174941
0.3666668,0.9685,-0.0285,0.6265,-0.2761442,0.1087471,-0.1099689
0.3833334,0.9547501,0.00925,0.60025,-0.2834755,0.09164077,0.007331261
0.4000001,0.9547501,0.00925,0.60025,-0.2834755,0.09164077,0.007331261
0.4166668,0.9547501,0.00925,0.60025,-0.2834755,0.09164077,0.007331261
0.4333335,0.9547501,0.00925,0.60025,-0.2834755,0.09164077,0.007331261
0.4500002,0.9547501,0.00925,0.60025,-0.2834755,0.09164077,0.007331261
0.4666668,0.7695,-0.10375,0.5617501,-0.3592318,0.03665631,0.02199378
0.4833335,0.7695,-0.10375,0.5617501,-0.3592318,0.03665631,0.02199378
0.5000002,0.7665001,-0.10775,0.5425,0.2101628,-0.09041889,-0.1612878
0.5166668,1.481,0.74625,0.182,-5.208861,-2.250697,-2.44131
0.5333335,1.79625,0.50225,0.16125,-5.714718,-2.193269,-2.137063
0.5500001,2.29375,0.12075,-0.06550001,-6.174144,-2.248254,-1.582331
0.5666668,3.06375,-0.3055,-0.59075,-6.488166,-3.209871,-0.4679789
0.5833334,2.81,-1.4555,-3.775,-4.362101,-8.459054,4.137275
0.6000001,0.9957501,-2.57975,-6.15975,-1.300077,-8.654554,6.739873
0.6166667,0.9957501,-2.57975,-6.15975,-1.300077,-8.654554,6.739873
0.6333334,0.9957501,-2.57975,-6.15975,-1.300077,-8.654554,6.739873
0.65,0.9957501,-2.57975,-6.15975,-1.300077,-8.654554,6.739873
0.6666667,0.9957501,-2.57975,-6.15975,-1.300077,-8.654554,6.739873
0.6833333,-0.26325,-5.176,-7.928751,4.001647,-4.498951,6.681223
0.7,-0.26325,-5.176,-7.928751,4.001647,-4.498951,6.681223
0.7166666,-3.79525,-4.0525,-8.189501,6.847398,-1.49069,-4.307116
0.7333333,-5.3035,8.189501,-3.059,10.51914,18.42468,-0.1991659
0.7499999,-2.7735,8.189501,2.3485,9.366909,19.43151,5.957872
0.7666666,-2.567,8.189501,5.602,10.32364,7.976413,12.34951
0.7833332,-4.87725,7.782751,4.99625,13.31968,-2.683242,10.42139
0.7999999,-6.30775,4.17875,4.789,10.33219,-3.460356,7.403352
0.8166665,-5.52525,1.97625,2.8655,6.095944,2.751667,5.007252
0.8333332,-2.30525,2.0655,1.61525,0.3164661,4.045635,0.5999416
0.8499998,-1.397,2.2295,1.41525,0.2492629,2.475523,-0.6756979
0.8666665,-0.615,2.22675,1.488,0.3225755,1.143677,-0.6903605
0.8833331,-0.615,2.22675,1.488,0.3225755,1.143677,-0.6903605
0.8999998,0.5,1.35525,1.0675,-0.5730603,-0.4203257,-0.9408453
0.9166664,0.6385,1.2585,0.75275,-1.190108,-0.8272107,-0.5168539
0.9333331,0.77975,1.21425,0.404,-1.207214,-1.691078,0.01955003
0.9499997,0.65,1.06825,0.1385,-1.108242,-2.521954,0.2443754
0.9666664,0.4705,0.9522501,0.0505,-1.204771,-2.727229,0.3702287
0.9833331,0.22825,0.9992501,-0.03125,-1.43204,-1.570112,0.4692007
0.9999997,0.42775,0.88675,-0.00825,-1.088692,-1.115574,0.2541504
1.016666,0.42775,0.88675,-0.00825,-1.088692,-1.115574,0.2541504
1.033333,0.7450001,0.6077501,0.127,-1.577443,-1.213324,-0.1906128
1.05,0.61175,0.617,0.1015,-2.162722,-1.32818,-0.5021914
1.066666,0.60725,0.7405,0.08350001,-2.547613,-0.8944139,-0.3763381
1.083333,0.8987501,0.7505,0.0445,-1.891466,-0.5205196,-0.4655351
1.1,0.8987501,0.7505,0.0445,-1.891466,-0.5205196,-0.4655351
1.116666,1.105,0.39925,0.1025,-1.79005,-1.130236,-0.6561479
1.133333,1.06775,0.24625,0.1405,-2.277579,-1.187664,-0.8968577
1.15,1.02125,0.195,0.08075,-2.81887,-1.025155,-1.246315
1.166666,1.02175,0.30475,0.097,-3.009483,-0.8101044,-0.9420671
1.183333,1.02175,0.30475,0.097,-3.009483,-0.8101044,-0.9420671
1.2,1.29525,0.3255,0.09500001,-1.75095,-1.421043,-0.8504264
1.216666,1.29975,0.0325,0.04625,-2.1615,-1.768056,-0.9677265
1.233333,1.29975,0.0325,0.04625,-2.1615,-1.768056,-0.9677265
1.25,1.29975,0.0325,0.04625,-2.1615,-1.768056,-0.9677265
1.266666,1.286,-0.05775,-0.0255,-2.683242,-1.609212,-1.257311
1.283333,1.286,-0.05775,-0.0255,-2.683242,-1.609212,-1.257311
1.299999,0.95925,0.19725,-0.00225,-3.748719,0.07820012,-0.9579515
1.316666,1.571,0.1825,0.25275,-2.022206,0.3714506,-0.764895
1.333333,1.48375,0.02275,0.3095,-2.08941,-0.05742821,-0.6598135
1.349999,1.48375,0.02275,0.3095,-2.08941,-0.05742821,-0.6598135
1.366666,1.48375,0.02275,0.3095,-2.08941,-0.05742821,-0.6598135
