time stamp,accel x,accel y,accel z,pitch,roll,yaw
0,0.9382501,-0.28425,0.43125,-0.2260472,-0.08064388,-0.05620634
0.01666667,0.9382501,-0.28425,0.43125,-0.2260472,-0.08064388,-0.05620634
0.03333334,0.9382501,-0.28425,0.43125,-0.2260472,-0.08064388,-0.05620634
0.05,0.9382501,-0.28425,0.43125,-0.2260472,-0.08064388,-0.05620634
0.06666667,0.9382501,-0.28425,0.43125,-0.2260472,-0.08064388,-0.05620634
0.08333334,0.9382501,-0.28425,0.43125,-0.2260472,-0.08064388,-0.05620634
0.1,0.9382501,-0.28425,0.43125,-0.2260472,-0.08064388,-0.05620634
0.1166667,0.9382501,-0.28425,0.43125,-0.2260472,-0.08064388,-0.05620634
0.1333333,0.9382501,-0.28425,0.43125,-0.2260472,-0.08064388,-0.05620634
0.15,0.9382501,-0.28425,0.43125,-0.2260472,-0.08064388,-0.05620634
0.1666667,0.9382501,-0.28425,0.43125,-0.2260472,-0.08064388,-0.05620634
0.1833333,0.88425,-0.16525,0.444,-0.4826414,0.3738943,0.08553138
0.2,0.88425,-0.16525,0.444,-0.4826414,0.3738943,0.08553138
0.2166667,0.88425,-0.16525,0.444,-0.4826414,0.3738943,0.08553138
0.2333333,0.88425,-0.16525,0.444,-0.4826414,0.3738943,0.08553138
0.25,0.88425,-0.16525,0.444,-0.4826414,0.3738943,0.08553138
0.2666667,0.88425,-0.16525,0.444,-0.4826414,0.3738943,0.08553138
0.2833334,0.88425,-0.16525,0.444,-0.4826414,0.3738943,0.08553138
0.3,0.88425,-0.16525,0.444,-0.4826414,0.3738943,0.08553138
0.3166667,0.88425,-0.16525,0.444,-0.4826414,0.3738943,0.08553138
0.3333334,0.88425,-0.16525,0.444,-0.4826414,0.3738943,0.08553138
0.3500001,0.88425,-0.16525,0.444,-0.4826414,0.3738943,0.08553138
0.3666668,0.88425,-0.16525,0.444,-0.4826414,0.3738943,0.08553138
0.3833334,0.88425,-0.16525,0.444,-0.4826414,0.3738943,0.08553138
0.4000001,0.88425,-0.16525,0.444,-0.4826414,0.3738943,0.08553138
0.4166668,0.88425,-0.16525,0.444,-0.4826414,0.3738943,0.08553138
0.4333335,0.91325,-0.15175,0.43625,-0.158844,0.3018036,0.1612878
0.4500002,0.91325,-0.15175,0.43625,-0.158844,0.3018036,0.1612878
0.4666668,0.91325,-0.15175,0.43625,-0.158844,0.3018036,0.1612878
0.4833335,0.91325,-0.15175,0.43625,-0.158844,0.3018036,0.1612878
0.5000002,0.92475,-0.15225,0.38025,-0.3164661,0.1564002,0.2077191
0.5166668,0.92475,-0.15225,0.38025,-0.3164661,0.1564002,0.2077191
0.5333335,0.92475,-0.15225,0.38025,-0.3164661,0.1564002,0.2077191
0.5500001,0.92475,-0.15225,0.38025,-0.3164661,0.1564002,0.2077191
0.5666668,0.874,-0.2185,0.41175,0.3482349,-0.1221877,0.1661753
0.5833334,0.874,-0.2185,0.41175,0.3482349,-0.1221877,0.1661753
0.6000001,0.874,-0.2185,0.41175,0.3482349,-0.1221877,0.1661753
0.6166667,0.874,-0.2185,0.41175,0.3482349,-0.1221877,0.1661753
0.6333334,0.874,-0.2185,0.41175,0.3482349,-0.1221877,0.1661753
0.65,0.874,-0.2185,0.41175,0.3482349,-0.1221877,0.1661753
0.6666667,0.874,-0.2185,0.41175,0.3482349,-0.1221877,0.1661753
0.6833333,1.571,-3.22325,0.29625,0.6341541,0.3030255,-2.488963
0.7,1.571,-3.22325,0.29625,0.6341541,0.3030255,-2.488963
0.7166666,1.571,-3.22325,0.29625,0.6341541,0.3030255,-2.488963
0.7333333,1.571,-3.22325,0.29625,0.6341541,0.3030255,-2.488963
0.7499999,1.571,-3.22325,0.29625,0.6341541,0.3030255,-2.488963
0.7666666,1.571,-3.22325,0.29625,0.6341541,0.3030255,-2.488963
0.7833332,1.571,-3.22325,0.29625,0.6341541,0.3030255,-2.488963
0.7999999,2.075,-5.18275,0.315,-0.08430951,0.9872766,-3.686403
0.8166665,2.587,-6.72075,0.53725,0.3763381,2.2006,-1.311074
0.8333332,2.587,-6.72075,0.53725,0.3763381,2.2006,-1.311074
0.8499998,2.587,-6.72075,0.53725,0.3763381,2.2006,-1.311074
0.8666665,0.5477501,-7.416,-0.56725,2.416873,5.224746,-2.282466
0.8833331,0.8495001,-7.0175,-0.15325,-1.120461,8.050947,-5.078121
0.8999998,0.8495001,-7.0175,-0.15325,-1.120461,8.050947,-5.078121
0.9166664,0.8495001,-7.0175,-0.15325,-1.120461,8.050947,-5.078121
0.9333331,1.168,3.09975,0.4055,0.5241852,-5.205196,5.824687
0.9499997,1.168,3.09975,0.4055,0.5241852,-5.205196,5.824687
0.9666664,1.168,3.09975,0.4055,0.5241852,-5.205196,5.824687
0.9833331,-0.51025,2.107,0.79,1.628762,-3.841581,4.090844
0.9999997,-0.51025,2.107,0.79,1.628762,-3.841581,4.090844
1.016666,-0.51025,2.107,0.79,1.628762,-3.841581,4.090844
1.033333,-0.51025,2.107,0.79,1.628762,-3.841581,4.090844
1.05,-0.51025,2.107,0.79,1.628762,-3.841581,4.090844
1.066666,-0.51025,2.107,0.79,1.628762,-3.841581,4.090844
1.083333,-0.51025,2.107,0.79,1.628762,-3.841581,4.090844
1.1,-0.51025,2.107,0.79,1.628762,-3.841581,4.090844
1.116666,-0.51025,2.107,0.79,1.628762,-3.841581,4.090844
1.133333,-0.51025,2.107,0.79,1.628762,-3.841581,4.090844
1.15,-0.503,1.568,0.57225,2.1224,-3.599649,4.071294
1.166666,-0.503,1.568,0.57225,2.1224,-3.599649,4.071294
1.183333,-0.503,1.568,0.57225,2.1224,-3.599649,4.071294
1.2,-0.503,1.568,0.57225,2.1224,-3.599649,4.071294
1.216666,-0.503,1.568,0.57225,2.1224,-3.599649,4.071294
1.233333,-0.503,1.568,0.57225,2.1224,-3.599649,4.071294
