time stamp,accel x,accel y,accel z,pitch,roll,yaw
0,0.934,-0.28075,-0.184,0.03054692,-0.01955003,-0.07575637
0.01666667,0.9367501,-0.28075,-0.17825,0.06720323,-0.008553139,-0.02199378
0.03333334,0.92725,-0.27875,-0.175,0.09775016,-0.02443754,-0.02565942
0.05,0.9265,-0.297,-0.17925,0.1197439,-0.02077191,-0.05498446
0.06666667,0.9400001,-0.3105,-0.19175,-0.006109385,0.01344065,-0.02688129
0.08333334,0.943,-0.2955,-0.20425,-0.07453449,0.05254071,-0.04154382
0.1,0.9507501,-0.28675,-0.20575,-0.01832815,0.03665631,0.05009696
0.1166667,0.927,-0.30425,-0.205,0.06598136,-0.1050814,0.04276569
0.1333333,0.918,-0.30375,-0.19175,0.09286265,-0.07209074,0.03054692
0.15,0.9110001,-0.31575,-0.17775,0.0953064,-0.04154382,-0.01710628
0.1666667,0.9110001,-0.31575,-0.17775,0.0953064,-0.04154382,-0.01710628
0.1833333,0.9115,-0.31275,-0.175,0.05131883,-0.03543443,-0.0317688
0.2,0.9115,-0.31275,-0.175,0.05131883,-0.03543443,-0.0317688
0.2166667,0.9115,-0.31275,-0.175,0.05131883,-0.03543443,-0.0317688
0.2333333,0.9225,-0.305,-0.1805,-0.03421256,-0.002443754,-0.006109385
0.25,0.92125,-0.28825,-0.189,-0.04032194,0.002443754,0.08064388
0.2666667,0.92125,-0.28825,-0.189,-0.04032194,0.002443754,0.08064388
0.2833334,0.92125,-0.28825,-0.189,-0.04032194,0.002443754,0.08064388
0.3,0.92125,-0.28825,-0.189,-0.04032194,0.002443754,0.08064388
0.3166667,0.92125,-0.28825,-0.189,-0.04032194,0.002443754,0.08064388
0.3333334,0.9080001,-0.303,-0.17475,0.02077191,-0.1148564,0.05131883
0.3500001,0.9052501,-0.30125,-0.17575,-0.02321566,-0.1209658,0.0317688
0.3666668,0.90575,-0.293,-0.18425,-0.09897203,-0.08919702,0.02077191
0.3833334,0.90575,-0.293,-0.18425,-0.09897203,-0.08919702,0.02077191
0.4000001,0.90575,-0.293,-0.18425,-0.09897203,-0.08919702,0.02077191
0.4166668,0.90575,-0.293,-0.18425,-0.09897203,-0.08919702,0.02077191
0.4333335,0.90575,-0.293,-0.18425,-0.09897203,-0.08919702,0.02077191
0.4500002,0.90575,-0.293,-0.18425,-0.09897203,-0.08919702,0.02077191
0.4666668,0.9005001,-0.27575,-0.18,-0.1380721,-0.02688129,-0.03421256
0.4833335,0.8652501,-0.217,-0.148,-0.1356283,-0.1759503,0.06109385
0.5000002,0.823,-0.16775,-0.117,-0.1893909,-0.2932505,0.1173002
0.5166668,0.823,-0.16775,-0.117,-0.1893909,-0.2932505,0.1173002
0.5333335,0.78975,-0.14525,-0.0925,-0.1625096,-0.4557601,0.1625096
0.5500001,0.74275,-0.1175,-0.06275,-0.1405158,-0.635376,0.2016097
0.5666668,0.74275,-0.1175,-0.06275,-0.1405158,-0.635376,0.2016097
0.5833334,0.74275,-0.1175,-0.06275,-0.1405158,-0.635376,0.2016097
0.6000001,0.74275,-0.1175,-0.06275,-0.1405158,-0.635376,0.2016097
0.6166667,0.74275,-0.1175,-0.06275,-0.1405158,-0.635376,0.2016097
0.6333334,0.74275,-0.1175,-0.06275,-0.1405158,-0.635376,0.2016097
0.65,0.74275,-0.1175,-0.06275,-0.1405158,-0.635376,0.2016097
0.6666667,0.74275,-0.1175,-0.06275,-0.1405158,-0.635376,0.2016097
0.6833333,0.74275,-0.1175,-0.06275,-0.1405158,-0.635376,0.2016097
0.7,0.74275,-0.1175,-0.06275,-0.1405158,-0.635376,0.2016097
0.7166666,0.74275,-0.1175,-0.06275,-0.1405158,-0.635376,0.2016097
0.7333333,0.39025,0.08375,0.1135,-0.9738359,-2.1615,0.854092
0.7499999,0.2655,0.08025,-0.0755,-1.47114,-3.019258,1.160783
0.7666666,0.164,0.04425,-0.18975,-1.478471,-3.51534,1.196218
0.7833332,0.164,0.04425,-0.18975,-1.478471,-3.51534,1.196218
0.7999999,0.164,0.04425,-0.18975,-1.478471,-3.51534,1.196218
0.8166665,0.05675,-0.07325,-0.3325,-1.384387,-3.741387,1.208436
0.8333332,-0.079,-0.9505001,-0.4645,-0.6292666,-3.681515,1.225543
0.8499998,-0.079,-0.9505001,-0.4645,-0.6292666,-3.681515,1.225543
0.8666665,-0.079,-0.9505001,-0.4645,-0.6292666,-3.681515,1.225543
0.8833331,-0.079,-0.9505001,-0.4645,-0.6292666,-3.681515,1.225543
0.8999998,-0.079,-0.9505001,-0.4645,-0.6292666,-3.681515,1.225543
0.9166664,0.08025,-2.0155,-0.2755,0.7331262,-3.301512,1.103355
0.9333331,0.36075,-3.70175,0.1135,1.741175,-2.532951,1.026377
0.9499997,-1.358,5.134,-1.6665,8.770633,1.74484,1.037374
0.9666664,-2.7355,5.77075,-2.0165,1.867028,4.463516,1.311074
0.9833331,-2.7355,5.77075,-2.0165,1.867028,4.463516,1.311074
