time stamp,accel x,accel y,accel z,pitch,roll,yaw
0,1.027,-0.27425,-0.2865,-0.1087471,-0.2236035,0.09775016
0.01666667,0.9375001,-0.319,-0.25575,-0.07086886,-0.3311287,-0.03910006
0.03333334,0.87625,-0.33,-0.2265,-0.1160783,-0.2504848,-0.06842511
0.05,0.8345,-0.3485,-0.22375,-0.2223816,-0.1564002,-0.09286265
0.06666667,0.8362501,-0.3215,-0.21775,-0.3763381,-0.01466252,-0.08797514
0.08333334,0.929,-0.26525,-0.22475,-0.2859192,-0.01466252,-0.02077191
0.1,0.90575,-0.27775,-0.2235,-0.188169,-0.2468191,-0.1380721
0.1166667,0.90575,-0.27775,-0.2235,-0.188169,-0.2468191,-0.1380721
0.1333333,0.85075,-0.306,-0.23175,-0.08675326,-0.4019975,-0.2663692
0.15,0.8570001,-0.3035,-0.22975,-0.1478471,-0.3409037,-0.2541504
0.1666667,0.859,-0.2935,-0.22425,-0.2565942,-0.2724786,-0.2174941
0.1833333,0.8592501,-0.27,-0.22325,-0.327463,-0.218716,-0.1967222
0.2,0.8767501,-0.24125,-0.233,-0.3128005,-0.1625096,-0.168619
0.2166667,0.85625,-0.26675,-0.20925,-0.09897203,-0.2052753,-0.4264351
0.2333333,0.8455001,-0.278,-0.18775,-0.1735065,-0.228491,-0.4410976
0.25,0.853,-0.25375,-0.199,-0.3042473,-0.2052753,-0.4129944
0.2666667,0.877,-0.23475,-0.2025,-0.3848912,-0.1564002,-0.3555662
0.2833334,0.86825,-0.21575,-0.2,-0.3677849,-0.2773661,-0.3555662
0.3,0.82425,-0.223,-0.181,-0.3091349,-0.4496507,-0.4056631
0.3166667,0.7515,-0.23175,-0.13475,-0.2737004,-0.6659229,-0.5755041
0.3333334,0.6932501,-0.24375,-0.09725001,-0.4178819,-0.803995,-0.7062449
0.3500001,0.6895,-0.11425,-0.09975,-0.9261827,-1.153452,-0.8699764
0.3666668,0.6895,-0.11425,-0.09975,-0.9261827,-1.153452,-0.8699764
0.3833334,0.68475,-0.05625,-0.08800001,-0.9555078,-1.440593,-0.902967
0.4000001,0.68475,-0.05625,-0.08800001,-0.9555078,-1.440593,-0.902967
0.4166668,0.68475,-0.05625,-0.08800001,-0.9555078,-1.440593,-0.902967
0.4333335,0.68475,-0.05625,-0.08800001,-0.9555078,-1.440593,-0.902967
0.4500002,0.68475,-0.05625,-0.08800001,-0.9555078,-1.440593,-0.902967
0.4666668,0.68475,-0.05625,-0.08800001,-0.9555078,-1.440593,-0.902967
0.4833335,0.68475,-0.05625,-0.08800001,-0.9555078,-1.440593,-0.902967
0.5000002,0.68475,-0.05625,-0.08800001,-0.9555078,-1.440593,-0.902967
0.5166668,0.68475,-0.05625,-0.08800001,-0.9555078,-1.440593,-0.902967
0.5333335,0.68475,-0.05625,-0.08800001,-0.9555078,-1.440593,-0.902967
0.5500001,0.68475,-0.05625,-0.08800001,-0.9555078,-1.440593,-0.902967
0.5666668,0.93375,0.273,-0.116,-2.400988,-1.713071,-1.318405
0.5833334,1.13025,0.371,0.04075,-2.952055,-0.7758918,-1.19133
0.6000001,2.6005,0.6235,0.39775,-5.437352,1.528568,0.5718384
0.6166667,3.643,-0.02925,-0.16925,-5.476452,4.711557,1.014158
0.6333334,4.50375,-1.04675,-1.239,-4.811751,6.589582,0.6036072
0.65,6.11,-1.52875,-2.5965,-4.36821,8.452945,0.7563418
0.6666667,6.11,-1.52875,-2.5965,-4.36821,8.452945,0.7563418
0.6833333,7.884501,-1.16525,-3.82825,-3.922225,10.62055,2.828645
0.7,8.189501,1.03675,-5.19925,-0.3360161,15.18182,10.32364
0.7166666,8.189501,1.03675,-5.19925,-0.3360161,15.18182,10.32364
0.7333333,3.9245,4.90725,-5.71275,1.356283,5.757484,14.32651
0.7499999,3.9245,4.90725,-5.71275,1.356283,5.757484,14.32651
0.7666666,1.632,5.60775,-5.49525,3.299068,4.552713,13.45164
0.7833332,-0.47075,4.5855,-3.9235,6.453954,8.419954,10.63155
0.7999999,-0.47075,4.5855,-3.9235,6.453954,8.419954,10.63155
0.8166665,-0.47075,4.5855,-3.9235,6.453954,8.419954,10.63155
0.8333332,-1.31725,5.023,-2.69475,7.023349,7.864,7.378915
0.8499998,-1.52075,4.57625,-0.6945,6.675114,7.708822,5.312721
0.8666665,-1.1675,3.0995,1.4965,1.959891,4.076181,2.415651
0.8833331,-1.1675,3.0995,1.4965,1.959891,4.076181,2.415651
0.8999998,-0.68975,1.9045,-0.098,-2.928839,-2.495073,1.411268
0.9166664,-0.68975,1.9045,-0.098,-2.928839,-2.495073,1.411268
0.9333331,-0.68975,1.9045,-0.098,-2.928839,-2.495073,1.411268
0.9499997,-0.938,1.4135,-0.05425,-1.918347,-1.90735,1.402715
0.9666664,-0.938,1.4135,-0.05425,-1.918347,-1.90735,1.402715
0.9833331,-1.28125,0.91075,0.033,-0.9994953,-1.772943,1.307408
0.9999997,-1.28125,0.91075,0.033,-0.9994953,-1.772943,1.307408
1.016666,-1.28125,0.91075,0.033,-0.9994953,-1.772943,1.307408
1.033333,-1.28125,0.91075,0.033,-0.9994953,-1.772943,1.307408
