time stamp,accel x,accel y,accel z,pitch,roll,yaw
0,0.7812501,-0.5365,0.2435,-0.1930566,0.1111908,-0.0476532
0.01666667,0.802,-0.513,0.22725,-0.2822536,0.1014158,-0.05254071
0.03333334,0.802,-0.513,0.22725,-0.2822536,0.1014158,-0.05254071
0.05,0.82025,-0.5585001,0.22475,-0.2113847,0.09775016,-0.1331846
0.06666667,0.82025,-0.5585001,0.22475,-0.2113847,0.09775016,-0.1331846
0.08333334,0.8325,-0.586,0.219,-0.2419316,-0.008553139,-0.05620634
0.1,0.83175,-0.5757501,0.1815,-0.2700348,-0.09286265,-0.1014158
0.1166667,0.82775,-0.57225,0.165,-0.2455973,-0.002443754,-0.1209658
0.1333333,0.84275,-0.58325,0.14475,-0.1747284,0.07209074,-0.1234096
0.15,0.8365,-0.59,0.14475,-0.1148564,0.05254071,-0.1197439
0.1666667,0.8365,-0.59,0.14475,-0.1148564,0.05254071,-0.1197439
0.1833333,0.80875,-0.61775,0.17275,-0.05009696,-0.07086886,-0.1429596
0.2,0.8182501,-0.587,0.19925,-0.1661753,0.1246314,-0.2174941
0.2166667,0.84175,-0.5675001,0.21925,-0.09652828,0.1942784,-0.2394879
0.2333333,0.84175,-0.5675001,0.21925,-0.09652828,0.1942784,-0.2394879
0.25,0.8445001,-0.591,0.202,0.02565942,0.1527346,-0.2688129
0.2666667,0.7747501,-0.6865,0.2345,-0.0158844,0.139294,-0.3335724
0.2833334,0.7747501,-0.6865,0.2345,-0.0158844,0.139294,-0.3335724
0.3,0.7360001,-0.74225,0.2505,-0.07086886,0.2113847,-0.3848912
0.3166667,0.7655,-0.8025,0.268,0.05620634,0.3225755,-0.4557601
0.3333334,0.75675,-0.8947501,0.288,0.5315165,0.4398757,-0.526629
0.3500001,0.7262501,-0.9875001,0.32775,0.7624512,0.8418732,-0.6818073
0.3666668,0.7262501,-0.9875001,0.32775,0.7624512,0.8418732,-0.6818073
0.3833334,0.7270001,-1.086,0.3805,1.087471,1.42593,-0.8406513
0.4000001,0.814,-1.3005,0.5915,1.765612,2.614817,-1.218211
0.4166668,0.814,-1.3005,0.5915,1.765612,2.614817,-1.218211
0.4333335,0.75475,-1.49825,0.79475,2.073525,3.589875,-1.583552
0.4500002,0.70125,-1.62175,0.808,2.228703,4.182485,-1.670306
0.4666668,0.051,-1.8575,0.9035,1.945228,7.678275,-1.948894
0.4833335,0.051,-1.8575,0.9035,1.945228,7.678275,-1.948894
0.5000002,-0.69975,-2.1515,1.114,2.232369,11.48687,-1.912237
0.5166668,-0.99375,-2.02775,1.20025,3.379712,10.21733,-2.997264
0.5333335,-0.99375,-2.02775,1.20025,3.379712,10.21733,-2.997264
0.5500001,-1.313,-1.42325,1.0255,1.735065,8.322204,-3.558106
0.5666668,-1.34775,-0.486,0.62225,0.77467,8.0204,-3.877016
0.5833334,-1.53275,1.6385,0.1085,3.035142,4.969374,-5.136771
0.6000001,-1.53275,1.6385,0.1085,3.035142,4.969374,-5.136771
0.6166667,-2.53275,5.384,0.266,2.609929,1.105799,-7.118655
0.6333334,-2.19575,7.671751,1.1475,1.110686,4.221585,-8.648445
0.65,-2.19575,7.671751,1.1475,1.110686,4.221585,-8.648445
0.6666667,4.02375,4.1645,1.21175,3.884347,-1.407602,-5.959094
0.6833333,3.8815,2.095,-0.224,4.279013,-11.4551,-0.5547321
0.7,3.8815,2.095,-0.224,4.279013,-11.4551,-0.5547321
0.7166666,3.8815,2.095,-0.224,4.279013,-11.4551,-0.5547321
0.7333333,1.43825,2.00425,-0.16375,1.461365,-13.98805,7.345924
0.7499999,1.43825,2.00425,-0.16375,1.461365,-13.98805,7.345924
0.7666666,1.43825,2.00425,-0.16375,1.461365,-13.98805,7.345924
0.7833332,1.43825,2.00425,-0.16375,1.461365,-13.98805,7.345924
0.7999999,1.43825,2.00425,-0.16375,1.461365,-13.98805,7.345924
0.8166665,-0.9860001,2.93575,0.9085,-0.01344065,-12.27742,8.455388
0.8333332,-0.9860001,2.93575,0.9085,-0.01344065,-12.27742,8.455388
0.8499998,-1.34125,2.6125,0.85825,0.1441815,-2.612373,5.316387
0.8666665,0.5805,2.8815,0.50525,0.3018036,-5.122108,5.823465
0.8833331,0.5805,2.8815,0.50525,0.3018036,-5.122108,5.823465
0.8999998,0.5805,2.8815,0.50525,0.3018036,-5.122108,5.823465
0.9166664,0.7245001,2.56975,0.2625,2.444976,-9.902091,6.728876
0.9333331,0.24175,-0.526,0.7605,1.472362,-6.03485,6.654342
0.9499997,0.5065,-1.98325,1.641,-2.057641,0.05131883,2.157835
0.9666664,0.4165,-1.7625,1.1015,-0.9017452,0.3531224,0.5156321
0.9833331,0.73,-1.407,0.77825,-1.339177,0.9787234,0.2700348
0.9999997,0.93275,-1.04375,0.44475,-1.429596,0.8174357,0.2101628
1.016666,1.025,-0.7635,0.3125,-1.10702,0.6879167,0.1515127
1.033333,0.98075,-0.6545,0.2765,-0.8247669,1.011714,0.238266
1.05,0.901,-0.6065,0.263,-0.6304885,1.146121,0.3262411
1.066666,0.901,-0.6065,0.263,-0.6304885,1.146121,0.3262411
1.083333,0.7845001,-0.604,0.2715,-0.5718384,1.075252,0.3628975
1.1,0.551,-0.611,0.23175,-1.006827,0.7074667,0.387335
1.116666,0.551,-0.611,0.23175,-1.006827,0.7074667,0.387335
1.133333,0.49175,-0.57025,0.22775,-0.9994953,0.3409037,0.238266
1.15,0.49175,-0.57025,0.22775,-0.9994953,0.3409037,0.238266
1.166666,0.49175,-0.57025,0.22775,-0.9994953,0.3409037,0.238266
1.183333,0.569,-0.728,0.2905,-0.6414854,0.6475947,0.05620634
1.2,0.66175,-0.6825,0.23425,-0.9652828,0.4313226,-0.01466252
1.216666,0.66175,-0.6825,0.23425,-0.9652828,0.4313226,-0.01466252
1.233333,0.66175,-0.6825,0.23425,-0.9652828,0.4313226,-0.01466252
1.25,0.7615001,-0.6637501,0.0535,-0.1808378,-0.5632853,0.2529285
1.266666,0.7615001,-0.6637501,0.0535,-0.1808378,-0.5632853,0.2529285
1.283333,0.7615001,-0.6637501,0.0535,-0.1808378,-0.5632853,0.2529285
1.299999,0.711,-0.7032501,0.061,-0.168619,-0.4887508,0.2162722
