time stamp,accel x,accel y,accel z,pitch,roll,yaw
0,0.8850001,-0.45375,0.18275,-0.1197439,0.08675326,-0.2174941
0.01666667,0.88175,-0.46375,0.1875,-0.1185221,0,-0.2358222
0.03333334,0.892,-0.4655,0.176,-0.1356283,-0.08186576,-0.2358222
0.05,0.87725,-0.46675,0.16325,-0.1747284,-0.1026377,-0.248041
0.06666667,0.92475,-0.42775,0.133,-0.2468191,0.06598136,-0.1857253
0.08333334,0.9545,-0.4115,0.12025,-0.2199378,0.1405158,-0.2028316
0.1,0.9545,-0.4115,0.12025,-0.2199378,0.1405158,-0.2028316
0.1166667,0.9545,-0.4115,0.12025,-0.2199378,0.1405158,-0.2028316
0.1333333,0.9425001,-0.4205,0.12825,-0.1710628,0.2199378,-0.1906128
0.15,0.9425001,-0.4205,0.12825,-0.1710628,0.2199378,-0.1906128
0.1666667,0.84525,-0.44875,0.15125,-0.1380721,-0.1564002,-0.1344065
0.1833333,0.83025,-0.40375,0.1425,-0.2602598,0.01466252,-0.168619
0.2,0.83025,-0.40375,0.1425,-0.2602598,0.01466252,-0.168619
0.2166667,0.86075,-0.3945,0.16,-0.1869472,0.05131883,-0.1612878
0.2333333,0.8537501,-0.4045,0.16625,-0.1735065,-0.02688129,-0.1698409
0.25,0.85425,-0.424,0.181,-0.2455973,-0.1319627,-0.1625096
0.2666667,0.8335,-0.42125,0.1825,-0.3738943,-0.2504848,-0.1967222
0.2833334,0.82375,-0.40975,0.1645,-0.4056631,-0.3384599,-0.2138285
0.3,0.8200001,-0.402,0.1365,-0.3592318,-0.4044413,-0.1991659
0.3166667,0.8207501,-0.43775,0.1205,-0.2846973,-0.6207135,-0.1173002
0.3333334,0.793,-0.4435,0.11875,-0.3091349,-0.7771137,-0.1735065
0.3500001,0.77125,-0.4335,0.104,-0.3225755,-0.9078546,-0.1918347
0.3666668,0.7672501,-0.4335,0.10275,-0.238266,-1.108242,-0.1221877
0.3833334,0.753,-0.457,0.10625,-0.1209658,-1.408824,-0.1221877
0.4000001,0.7262501,-0.48425,0.08825,-0.06842511,-1.628762,-0.1441815
0.4166668,0.69925,-0.4945,0.0735,-0.1527346,-1.688634,-0.1160783
0.4333335,0.6635,-0.49675,0.05525,-0.1942784,-1.735065,-0.01955003
0.4500002,0.571,-0.54,0.04275,0.08186576,-2.249475,-0.0158844
0.4666668,0.571,-0.54,0.04275,0.08186576,-2.249475,-0.0158844
0.4833335,0.6135001,-0.562,-0.05875,-0.02565942,-2.586714,-0.09775016
0.5000002,0.6135001,-0.562,-0.05875,-0.02565942,-2.586714,-0.09775016
0.5166668,0.64125,-0.582,-0.0755,-0.01710628,-2.429091,-0.02565942
0.5333335,0.64125,-0.582,-0.0755,-0.01710628,-2.429091,-0.02565942
0.5500001,0.68,-0.67825,-0.2905,0.248041,-2.821314,0.1576221
0.5666668,0.818,-0.7442501,-0.45525,0.6182697,-2.761442,0.1454034
0.5833334,0.9860001,-0.93525,-0.6350001,1.262199,-2.854305,0.2162722
0.6000001,0.9860001,-0.93525,-0.6350001,1.262199,-2.854305,0.2162722
0.6166667,0.9860001,-0.93525,-0.6350001,1.262199,-2.854305,0.2162722
0.6333334,0.9860001,-0.93525,-0.6350001,1.262199,-2.854305,0.2162722
0.65,0.9860001,-0.93525,-0.6350001,1.262199,-2.854305,0.2162722
0.6666667,1.191,-1.269,-0.73725,2.376551,-3.431031,0.2614817
0.6833333,1.191,-1.269,-0.73725,2.376551,-3.431031,0.2614817
0.7,1.191,-1.269,-0.73725,2.376551,-3.431031,0.2614817
0.7166666,1.281,-1.947,-0.711,4.093288,-4.583261,0.1527346
0.7333333,1.281,-1.947,-0.711,4.093288,-4.583261,0.1527346
0.7499999,1.281,-1.947,-0.711,4.093288,-4.583261,0.1527346
0.7666666,1.281,-1.947,-0.711,4.093288,-4.583261,0.1527346
0.7833332,1.281,-1.947,-0.711,4.093288,-4.583261,0.1527346
0.7999999,1.281,-1.947,-0.711,4.093288,-4.583261,0.1527346
0.8166665,1.281,-1.947,-0.711,4.093288,-4.583261,0.1527346
0.8333332,1.281,-1.947,-0.711,4.093288,-4.583261,0.1527346
0.8499998,1.236,-2.8315,-0.62825,5.8589,-4.936383,-0.05254071
0.8666665,1.236,-2.8315,-0.62825,5.8589,-4.936383,-0.05254071
0.8833331,1.2575,-4.05675,-0.49025,7.702712,-3.944219,-0.6231573
0.8999998,1.2575,-4.05675,-0.49025,7.702712,-3.944219,-0.6231573
0.9166664,1.2575,-4.05675,-0.49025,7.702712,-3.944219,-0.6231573
0.9333331,1.2575,-4.05675,-0.49025,7.702712,-3.944219,-0.6231573
0.9499997,2.2105,-4.288,-0.9357501,6.323213,2.827423,-1.202327
0.9666664,2.2105,-4.288,-0.9357501,6.323213,2.827423,-1.202327
0.9833331,2.2105,-4.288,-0.9357501,6.323213,2.827423,-1.202327
0.9999997,2.2105,-4.288,-0.9357501,6.323213,2.827423,-1.202327
1.016666,2.2105,-4.288,-0.9357501,6.323213,2.827423,-1.202327
1.033333,2.2105,-4.288,-0.9357501,6.323213,2.827423,-1.202327
1.05,3.03275,-1.8125,-1.336,3.286849,9.676044,1.066699
1.066666,2.81575,-0.8915001,-0.52875,4.828858,9.294818,2.743114
1.083333,0.5875,-0.86625,-0.10525,0.04887508,-0.1612878,-0.9188514
1.1,0.5875,-0.86625,-0.10525,0.04887508,-0.1612878,-0.9188514
1.116666,0.5875,-0.86625,-0.10525,0.04887508,-0.1612878,-0.9188514
1.133333,0.6705,-0.86,0.015,-0.2370441,0.4545382,-1.047149
1.15,0.6705,-0.86,0.015,-0.2370441,0.4545382,-1.047149
1.166666,0.777,-1.15425,0.08875,-0.06598136,-0.4508726,-1.092358
1.183333,0.8925,-1.1405,0.31575,-0.4716445,0.844317,-1.279305
1.2,0.95125,-1.0545,0.4225,-0.8956358,0.6439291,-0.9469546
1.216666,0.85875,-1.08925,0.33525,-0.8174357,0.1246314,-0.9359577
1.233333,0.85875,-1.08925,0.33525,-0.8174357,0.1246314,-0.9359577
1.25,0.85875,-1.08925,0.33525,-0.8174357,0.1246314,-0.9359577
1.266666,0.85875,-1.08925,0.33525,-0.8174357,0.1246314,-0.9359577
1.283333,0.85875,-1.08925,0.33525,-0.8174357,0.1246314,-0.9359577
1.299999,0.71775,-1.0075,0.2345,-1.567668,0.9518421,-0.8088825
1.316666,0.7327501,-0.8592501,0.1705,-1.001939,0.5437353,-0.5425134
1.333333,0.606,-0.94425,0.14175,-1.224321,0.7465668,-0.4044413
1.349999,0.57875,-0.9175,0.1485,-1.298855,1.033708,-0.4447632
1.366666,0.6020001,-0.8750001,0.22475,-1.135124,1.357505,-0.3861131
1.383333,0.6665,-0.883,0.2855,-0.8308763,1.533456,-0.5254071
1.399999,0.6665,-0.883,0.2855,-0.8308763,1.533456,-0.5254071
1.416666,0.6565,-0.9252501,0.3965,-0.7563418,1.523681,-0.5645071
1.433333,0.6325001,-0.84,0.34775,-0.8467607,0.7807794,-0.3433474
1.449999,0.625,-0.77125,0.29775,-0.8186576,0.6781417,-0.3836693
1.466666,0.6605,-0.7492501,0.27775,-0.6842511,0.9274046,-0.4679789
1.483333,0.665,-0.7492501,0.2685,-0.6243791,1.318405,-0.5351821
1.499999,0.647,-0.7305,0.29025,-0.7331262,1.6532,-0.4728664
