time stamp,accel x,accel y,accel z,pitch,roll,yaw
0,0.927,-0.08025,0.3405,-0.168619,0.1942784,0.05742821
0.01666667,0.927,-0.08025,0.3405,-0.168619,0.1942784,0.05742821
0.03333334,0.927,-0.08025,0.3405,-0.168619,0.1942784,0.05742821
0.05,0.929,-0.0415,0.31975,-0.2394879,0.2199378,-0.05131883
0.06666667,0.9497501,-0.04025,0.33225,-0.1612878,0.0476532,-0.1075252
0.08333334,0.9497501,-0.04025,0.33225,-0.1612878,0.0476532,-0.1075252
0.1,0.97075,-0.027,0.33325,-0.188169,0.06720323,-0.1050814
0.1166667,0.97075,-0.027,0.33325,-0.188169,0.06720323,-0.1050814
0.1333333,0.97075,-0.027,0.33325,-0.188169,0.06720323,-0.1050814
0.15,0.9675,-0.041,0.33125,-0.1478471,-0.007331261,-0.05131883
0.1666667,0.9515001,-0.05525,0.3255,-0.1258533,-0.05131883,-0.05376258
0.1833333,0.9515001,-0.05525,0.3255,-0.1258533,-0.05131883,-0.05376258
0.2,0.9515001,-0.05525,0.3255,-0.1258533,-0.05131883,-0.05376258
0.2166667,0.9515001,-0.05525,0.3255,-0.1258533,-0.05131883,-0.05376258
0.2333333,0.9515001,-0.05525,0.3255,-0.1258533,-0.05131883,-0.05376258
0.25,0.9515001,-0.05525,0.3255,-0.1258533,-0.05131883,-0.05376258
0.2666667,0.9515001,-0.05525,0.3255,-0.1258533,-0.05131883,-0.05376258
0.2833334,0.9515001,-0.05525,0.3255,-0.1258533,-0.05131883,-0.05376258
0.3,0.9310001,-0.05325,0.33125,-0.1246314,-0.04032194,-0.09286265
0.3166667,0.94125,-0.04275,0.32575,-0.1796159,0.03421256,-0.149069
0.3333334,0.94125,-0.04275,0.32575,-0.1796159,0.03421256,-0.149069
0.3500001,0.95175,-0.02375,0.32225,-0.2455973,0.1282971,-0.1673971
0.3666668,0.95825,0.00025,0.3235,-0.2956942,0.1539565,-0.1735065
0.3833334,0.95825,0.00025,0.3235,-0.2956942,0.1539565,-0.1735065
0.4000001,0.95825,0.00025,0.3235,-0.2956942,0.1539565,-0.1735065
0.4166668,0.95,0.031,0.3365,-0.3042473,0.1649534,-0.1747284
0.4333335,0.95,0.031,0.3365,-0.3042473,0.1649534,-0.1747284
0.4500002,0.95,0.031,0.3365,-0.3042473,0.1649534,-0.1747284
0.4666668,0.95,0.031,0.3365,-0.3042473,0.1649534,-0.1747284
0.4833335,0.91725,0.1005,0.3635,-0.3066911,-0.06964698,-0.1722846
0.5000002,0.7565001,0.2435,0.44,-0.7551199,0.04643133,-0.6659229
0.5166668,0.7565001,0.2435,0.44,-0.7551199,0.04643133,-0.6659229
0.5333335,0.7565001,0.2435,0.44,-0.7551199,0.04643133,-0.6659229
0.5500001,0.7445,0.3005,0.473,-0.8699764,-0.01466252,-0.8284326
0.5666668,0.7445,0.3005,0.473,-0.8699764,-0.01466252,-0.8284326
0.5833334,0.6950001,0.46325,0.59375,-1.405159,-0.1197439,-1.594549
0.6000001,0.7825,0.53525,0.6995,-1.981884,0.327463,-2.24581
0.6166667,0.7825,0.53525,0.6995,-1.981884,0.327463,-2.24581
0.6333334,0.8537501,0.506,0.7415,-2.346004,0.3543443,-2.755332
0.65,0.8537501,0.506,0.7415,-2.346004,0.3543443,-2.755332
0.6666667,0.8537501,0.506,0.7415,-2.346004,0.3543443,-2.755332
0.6833333,1.0435,0.31025,0.54825,-2.757776,0.8956358,-4.88262
0.7,4.2255,8.188001,-0.43825,0.6805854,2.272691,9.278934
0.7166666,1.39075,8.189501,-0.264,-4.099397,-0.9261827,10.95413
0.7333333,1.39075,8.189501,-0.264,-4.099397,-0.9261827,10.95413
0.7499999,-3.64425,7.03675,1.769,-1.185221,-3.156108,9.071215
0.7666666,-3.64425,7.03675,1.769,-1.185221,-3.156108,9.071215
0.7833332,-5.00325,4.42925,1.38025,1.136346,-5.447127,6.957367
0.7999999,-2.7365,0.696,0.8855,0.8846389,-0.9848328,2.614817
0.8166665,-1.93575,0.655,0.92075,0.9811672,-0.8516482,1.506574
0.8333332,-1.13775,0.6865,0.97,1.290302,-0.3409037,0.6011634
0.8499998,-0.661,0.663,1.083,1.577443,0.1246314,0.079422
0.8666665,-0.661,0.663,1.083,1.577443,0.1246314,0.079422
0.8833331,-0.661,0.663,1.083,1.577443,0.1246314,0.079422
0.8999998,-0.661,0.663,1.083,1.577443,0.1246314,0.079422
0.9166664,-0.07875001,0.37,1.15425,1.793715,-0.2236035,-0.5168539
0.9333331,-0.07875001,0.37,1.15425,1.793715,-0.2236035,-0.5168539
0.9499997,-0.01325,0.2205,1.12025,1.631206,-0.5828353,-0.7734481
0.9666664,-0.01325,0.2205,1.12025,1.631206,-0.5828353,-0.7734481
0.9833331,0.5655,0.1235,0.9357501,0.6573698,-1.022711,-1.091136
0.9999997,0.62925,0.13125,0.88425,0.5938322,-1.141233,-1.115574
1.016666,0.63975,0.09125,0.8135,0.5522884,-1.102133,-1.138789
1.033333,0.65,0.09775001,0.79975,0.5278509,-1.017823,-1.096024
1.05,0.71375,0.052,0.87975,0.993386,-1.472362,-1.09358
1.066666,0.72575,-0.00325,0.83,0.784445,-1.335511,-1.098467
