time stamp,accel x,accel y,accel z,pitch,roll,yaw
0,0.9612501,-0.1055,0.2185,0.3445693,0.3091349,0.09408452
0.01666667,0.97975,-0.0855,0.18575,-0.03299068,-0.05254071,-0.1344065
0.03333334,0.97975,-0.0855,0.18575,-0.03299068,-0.05254071,-0.1344065
0.05,0.9820001,-0.066,0.1885,-0.07697824,-0.1185221,-0.1515127
0.06666667,0.98625,-0.042,0.19475,-0.04643133,-0.1380721,-0.1441815
0.08333334,1.008,-0.04,0.16675,-0.06964698,-0.06475948,-0.079422
0.1,0.9975001,-0.023,0.16725,-0.1527346,0.008553139,-0.1857253
0.1166667,0.9975001,-0.023,0.16725,-0.1527346,0.008553139,-0.1857253
0.1333333,0.99975,-0.01425,0.166,-0.1930566,0.03665631,-0.1930566
0.15,0.992,0,0.1585,-0.1673971,0.009775016,-0.1661753
0.1666667,0.9867501,0.0195,0.152,-0.1417377,-0.01955003,-0.188169
0.1833333,0.9867501,0.0195,0.152,-0.1417377,-0.01955003,-0.188169
0.2,0.9877501,0.04,0.155,-0.08919702,-0.0476532,-0.2455973
0.2166667,1.00525,0.06625,0.15475,-0.04398757,-0.0476532,-0.3470131
0.2333333,1.02725,0.082,0.15225,-0.09652828,-0.04032194,-0.4716445
0.25,1.02725,0.082,0.15225,-0.09652828,-0.04032194,-0.4716445
0.2666667,1.02725,0.082,0.15225,-0.09652828,-0.04032194,-0.4716445
0.2833334,1.02725,0.082,0.15225,-0.09652828,-0.04032194,-0.4716445
0.3,1.034,0.1145,0.1585,-0.2162722,-0.009775016,-0.5327383
0.3166667,1.06275,0.137,0.1575,-0.2565942,0.08553138,-0.5229633
0.3333334,1.09525,0.089,0.2365,1.886578,-0.2798098,-0.9298484
0.3500001,1.09525,0.089,0.2365,1.886578,-0.2798098,-0.9298484
0.3666668,1.09525,0.089,0.2365,1.886578,-0.2798098,-0.9298484
0.3833334,1.10275,-0.028,0.3085,2.848195,-0.7795575,-0.664701
0.4000001,1.111,-0.11475,0.4415,3.683959,-1.160783,-0.3738943
0.4166668,1.121,-0.191,0.6325001,4.55027,-1.022711,-0.2064972
0.4333335,1.121,-0.191,0.6325001,4.55027,-1.022711,-0.2064972
0.4500002,1.121,-0.191,0.6325001,4.55027,-1.022711,-0.2064972
0.4666668,1.121,-0.191,0.6325001,4.55027,-1.022711,-0.2064972
0.4833335,1.121,-0.191,0.6325001,4.55027,-1.022711,-0.2064972
0.5000002,1.2205,-0.3245,0.94525,5.69639,-0.3580099,-0.1136346
0.5166668,1.2205,-0.3245,0.94525,5.69639,-0.3580099,-0.1136346
0.5333335,1.2205,-0.3245,0.94525,5.69639,-0.3580099,-0.1136346
0.5500001,1.2205,-0.3245,0.94525,5.69639,-0.3580099,-0.1136346
0.5666668,1.2205,-0.3245,0.94525,5.69639,-0.3580099,-0.1136346
0.5833334,1.2205,-0.3245,0.94525,5.69639,-0.3580099,-0.1136346
0.6000001,1.2205,-0.3245,0.94525,5.69639,-0.3580099,-0.1136346
0.6166667,1.2205,-0.3245,0.94525,5.69639,-0.3580099,-0.1136346
0.6333334,1.2205,-0.3245,0.94525,5.69639,-0.3580099,-0.1136346
0.65,1.674,-0.8545001,1.504,7.596409,0.3103567,-0.4325444
0.6666667,2.5965,-2.9165,3.73175,10.52769,2.719898,-2.146838
0.6833333,2.5965,-2.9165,3.73175,10.52769,2.719898,-2.146838
0.7,2.5965,-2.9165,3.73175,10.52769,2.719898,-2.146838
0.7166666,2.5965,-2.9165,3.73175,10.52769,2.719898,-2.146838
0.7333333,2.5965,-2.9165,3.73175,10.52769,2.719898,-2.146838
0.7499999,2.5965,-2.9165,3.73175,10.52769,2.719898,-2.146838
0.7666666,2.5965,-2.9165,3.73175,10.52769,2.719898,-2.146838
