time stamp,accel x,accel y,accel z,pitch,roll,yaw
0,0.9702501,-0.1555,0.17675,-0.06598136,-0.1319627,0.2272691
0.01666667,0.9457501,-0.16625,0.1685,-0.2969161,-0.1209658,0.158844
0.03333334,0.9457501,-0.16625,0.1685,-0.2969161,-0.1209658,0.158844
0.05,0.9457501,-0.16625,0.1685,-0.2969161,-0.1209658,0.158844
0.06666667,0.95175,-0.15375,0.15325,-0.307913,-0.2113847,0.08675326
0.08333334,0.9445,-0.1375,0.15875,-0.2737004,-0.2248254,0.04398757
0.1,0.9445,-0.1375,0.15875,-0.2737004,-0.2248254,0.04398757
0.1166667,0.9342501,-0.12875,0.15925,-0.2443754,-0.1649534,-0.003665631
0.1333333,0.9342501,-0.12875,0.15925,-0.2443754,-0.1649534,-0.003665631
0.15,0.91975,-0.1235,0.167,-0.3250193,-0.1136346,-0.2174941
0.1666667,0.9160001,-0.1405,0.16475,-0.3482349,-0.1930566,-0.2468191
0.1833333,0.9192501,-0.11175,0.1305,-0.4459851,-0.3519005,-0.3506787
0.2,0.928,-0.07225,0.12575,-0.5547321,-0.2908067,-0.3616756
0.2166667,0.90175,-0.03075,0.139,-0.6402635,-0.1942784,-0.3237974
0.2333333,0.90175,-0.03075,0.139,-0.6402635,-0.1942784,-0.3237974
0.25,0.869,0.01375,0.143,-0.685473,-0.2077191,-0.3457912
0.2666667,0.7605,0.15675,0.15425,-0.863867,-0.337238,-0.6378198
0.2833334,0.6075,0.479,0.249,-1.326958,-0.1930566,-1.177889
0.3,0.6075,0.479,0.249,-1.326958,-0.1930566,-1.177889
0.3166667,0.527,0.84825,0.26975,-1.854809,-0.09652828,-1.972109
0.3333334,0.527,0.84825,0.26975,-1.854809,-0.09652828,-1.972109
0.3500001,0.527,0.84825,0.26975,-1.854809,-0.09652828,-1.972109
0.3666668,0.527,0.84825,0.26975,-1.854809,-0.09652828,-1.972109
0.3833334,0.61325,1.048,0.178,-2.179828,-0.07209074,-2.30446
0.4000001,0.63675,1.234,0.09500001,-2.581826,-0.1527346,-2.686907
0.4166668,0.6390001,1.41125,0.0155,-2.777326,-0.3751162,-3.046139
0.4333335,0.5157501,1.35425,-0.525,-2.741892,-1.055702,-4.638245
0.4500002,0.5195,1.2185,-0.9612501,-1.930566,-1.587218,-5.658512
0.4666668,0.5195,1.2185,-0.9612501,-1.930566,-1.587218,-5.658512
0.4833335,0.65175,1.12725,-1.076,-0.913964,-2.20671,-5.907775
0.5000002,0.65175,1.12725,-1.076,-0.913964,-2.20671,-5.907775
0.5166668,0.65175,1.12725,-1.076,-0.913964,-2.20671,-5.907775
